Date,Venue,Home_Team,Away_Team,Home_Score,Away_Score,Home_Odds,Away_Odds
29/06/14,Adelaide Oval,Adelaide,Port Adelaide,99,76,3.02,1.38
29/06/14,Etihad Stadium,Western Bulldogs,Melbourne,91,85,1.72,2.12
28/06/14,Gabba,Brisbane,North Melbourne,70,66,5.26,1.15
28/06/14,SCG,Sydney,GWS Giants,106,60,1.05,9.47
28/06/14,Domain Stadium,Fremantle,West Coast,88,81,1.24,3.98
28/06/14,Etihad Stadium,St Kilda,Richmond,73,117,5.56,1.14
28/06/14,Aurora Stadium,Hawthorn,Gold Coast,116,63,1.16,5.01
27/06/14,Etihad Stadium,Geelong,Essendon,89,80,1.36,3.09
22/06/14,MCG,Melbourne,North Melbourne,66,107,3.56,1.29
22/06/14,Etihad Stadium,St Kilda,West Coast,70,103,5.77,1.13
22/06/14,Spotless Stadium,GWS Giants,Carlton,100,92,3.33,1.32
21/06/14,Etihad Stadium,Essendon,Adelaide,101,92,2.3,1.61
21/06/14,Domain Stadium,Fremantle,Brisbane,105,22,1.03,12.19
21/06/14,Metricon Stadium,Gold Coast,Geelong,118,78,2.64,1.47
21/06/14,MCG,Hawthorn,Collingwood,115,86,1.34,3.15
21/06/14,Adelaide Oval,Port Adelaide,Western Bulldogs,128,56,1.09,6.98
20/06/14,MCG,Richmond,Sydney,51,62,4.17,1.22
15/06/14,MCG,Essendon,Melbourne,77,78,1.43,2.87
15/06/14,Etihad Stadium,Collingwood,Western Bulldogs,98,106,1.11,6.36
15/06/14,Simonds Stadium,Geelong,St Kilda,133,37,1.03,12.66
14/06/14,Adelaide Oval,Adelaide,North Melbourne,109,73,1.85,1.93
14/06/14,Gabba,Brisbane,GWS Giants,80,125,1.41,2.89
14/06/14,Domain Stadium,West Coast,Gold Coast,103,100,1.74,2.08
14/06/14,SCG,Sydney,Port Adelaide,98,94,1.43,2.8
14/06/14,MCG,Richmond,Fremantle,85,105,3.67,1.27
13/06/14,MCG,Carlton,Hawthorn,90,118,4.74,1.18
09/06/14,MCG,Melbourne,Collingwood,28,61,4.64,1.19
08/06/14,Etihad Stadium,North Melbourne,Richmond,116,88,1.31,3.43
08/06/14,Domain Stadium,Fremantle,Adelaide,90,50,1.23,4.07
08/06/14,Metricon Stadium,Gold Coast,Sydney,74,109,4.43,1.2
07/06/14,Spotless Stadium,GWS Giants,Essendon,66,81,5.78,1.13
07/06/14,Etihad Stadium,Western Bulldogs,Brisbane,87,95,1.31,3.42
07/06/14,Adelaide Oval,Port Adelaide,St Kilda,129,59,1.02,13.09
07/06/14,Aurora Stadium,Hawthorn,West Coast,123,79,1.19,4.49
06/06/14,Etihad Stadium,Geelong,Carlton,107,102,1.18,4.74
01/06/14,Domain Stadium,West Coast,North Melbourne,44,82,1.6,2.31
01/06/14,MCG,Hawthorn,GWS Giants,94,87,1.01,16.02
01/06/14,Etihad Stadium,Western Bulldogs,Fremantle,51,89,5.28,1.15
01/06/14,Adelaide Oval,Adelaide,Gold Coast,109,77,1.54,2.46
31/05/14,MCG,Essendon,Richmond,104,54,1.68,2.16
31/05/14,Gabba,Brisbane,Carlton,98,91,2.86,1.41
31/05/14,Traeger Park,Melbourne,Port Adelaide,75,95,6.04,1.12
30/05/14,Etihad Stadium,St Kilda,Collingwood,54,140,8.45,1.06
29/05/14,SCG,Sydney,Geelong,148,38,1.39,3
25/05/14,MCG,Carlton,Adelaide,81,76,2.25,1.63
25/05/14,Metricon Stadium,Gold Coast,Western Bulldogs,119,74,1.22,4.31
24/05/14,Adelaide Oval,Port Adelaide,Hawthorn,100,86,1.53,2.46
24/05/14,MCG,Collingwood,West Coast,109,101,1.3,3.48
24/05/14,Spotless Stadium,GWS Giants,Richmond,41,154,3.19,1.34
23/05/14,Simonds Stadium,Geelong,North Melbourne,111,91,1.54,2.46
18/05/14,Etihad Stadium,St Kilda,Gold Coast,87,125,4.03,1.24
17/05/14,Domain Stadium,Fremantle,Geelong,96,64,1.79,2
17/05/14,Etihad Stadium,North Melbourne,Brisbane,125,38,1.06,9.34
17/05/14,MCG,Richmond,Melbourne,74,91,1.18,4.7
16/05/14,Etihad Stadium,Essendon,Sydney,64,114,3.13,1.36
15/05/14,Adelaide Oval,Adelaide,Collingwood,76,55,2.71,1.45
12/05/14,Etihad Stadium,St Kilda,Carlton,69,101,3.2,1.35
11/05/14,Domain Stadium,West Coast,GWS Giants,188,77,1.06,9.29
10/05/14,MCG,Melbourne,Western Bulldogs,83,99,2.73,1.44
10/05/14,Gabba,Brisbane,Essendon,57,65,3.91,1.25
10/05/14,Adelaide Oval,Port Adelaide,Fremantle,94,76,1.54,2.43
09/05/14,ANZ Stadium,Sydney,Hawthorn,107,88,2.16,1.68
04/05/14,Domain Stadium,West Coast,Fremantle,54,73,2.81,1.42
04/05/14,MCG,Geelong,Richmond,81,76,1.19,4.49
04/05/14,Etihad Stadium,North Melbourne,Gold Coast,77,120,1.26,3.78
03/05/14,Gabba,Brisbane,Sydney,44,123,4.64,1.19
03/05/14,Etihad Stadium,Essendon,Western Bulldogs,73,65,1.31,3.45
03/05/14,Adelaide Oval,Adelaide,Melbourne,67,70,1.06,8.79
03/05/14,StarTrack Oval Canberra,GWS Giants,Port Adelaide,97,132,8.46,1.07
03/05/14,MCG,Hawthorn,St Kilda,175,30,1.04,11.17
02/05/14,MCG,Carlton,Collingwood,70,104,3.95,1.25
27/04/14,Adelaide Oval,Port Adelaide,Geelong,107,67,2.08,1.74
27/04/14,MCG,Richmond,Hawthorn,52,118,5.04,1.17
27/04/14,Etihad Stadium,Western Bulldogs,Adelaide,83,92,2.37,1.58
26/04/14,MCG,Melbourne,Sydney,38,69,7.09,1.09
26/04/14,Etihad Stadium,Carlton,West Coast,92,89,2.03,1.76
26/04/14,Metricon Stadium,Gold Coast,GWS Giants,134,94,1.18,4.69
25/04/14,Domain Stadium,Fremantle,North Melbourne,61,74,1.27,3.74
25/04/14,Westpac Stadium,St Kilda,Brisbane,79,82,1.37,3.1
25/04/14,MCG,Collingwood,Essendon,83,60,1.55,2.42
